Player,Base Price,TYPE,Cost,Age,Inns,Balls,Runs,Wkts,Avg,Nt,R_wkt,R_avg,R_eco
Avesh Khan,0.2,BOWLER,10,25,50,1116,1450,67,21.64,i,24,18.75,7.37
Mark Wood,2,BOWLER,7.5,32,40,849,1168,46,25.39,o,0,0,0
Ravi Bishnoi,0,BOWLER,4,21,46,1056,1169,53,22.05,i,12,18.5,6.34
Dushmantha Chameera,0.5,BOWLER,2,30,87,1827,2403,89,27,o,0,0,0
Shahbaz Nadeem,0.5,BOWLER,0.5,32,138,2937,3335,114,29.25,i,1,36,9
Ankit Singh Rajpoot,0.2,BOWLER,0.5,28,87,1751,2263,105,21.55,i,0,0,0
Mohsin Khan,0.2,BOWLER,0.2,23,26,540,638,33,19.33,i,0,0,0
Jasprit Bumrah,-1,BOWLER,12,28,192,4324,5050,238,21.21,i,21,19.52,7.45
Murugan Ashwin,0.2,BOWLER,1.6,31,85,1749,2111,82,25.74,i,1,97,8.81
Tymal Mills,1,BOWLER,1.5,29,150,3207,4181,176,23.75,o,0,0,0
Jaydev Unadkat,0.75,BOWLER,1.3,30,157,3379,4476,195,22.95,i,4,42,7.63
Riley Meredith,1,BOWLER,1,25,55,1187,1659,71,23.36,o,4,42.25,9.94
Mayank Markande,0.5,BOWLER,0.65,24,43,877,1076,43,25.02,i,0,0,8.66
Basil Thampi,0.3,BOWLER,0.3,28,68,1428,1997,69,28.94,i,0,0,0
Josh Hazlewood,2,BOWLER,7.75,31,67,1521,1873,86,21.77,o,11,26.63,8.37
Mohammed Siraj,-1,BOWLER,7,28,86,1854,2498,108,23.12,i,11,32.09,6.78
Siddharth Kaul,0.75,BOWLER,0.75,31,124,2674,3389,147,23.05,i,7,35.28,8.23
Jason Behrendorff,0.75,BOWLER,0.75,31,92,1956,2380,106,22.45,o,0,0,0
Karn Sharma,0.5,BOWLER,0.5,23,2,48,44,2,22,i,0,0,0
Chama Milind,0.2,BOWLER,0.25,27,52,1123,1427,83,17.19,i,0,0,0
Akash Deep,0.2,BOWLER,0.2,25,21,450,482,26,18.53,i,0,0,0
Prasidh Krishna,1,BOWLER,10,26,54,1157,1672,48,34.83,i,12,29.25,9.11
Trent Boult,2,BOWLER,8,32,149,3276,4462,176,25.35,o,13,31.23,7.9
Yuzvendra Chahal,2,BOWLER,6.5,31,223,4810,6059,247,24.53,i,18,20.77,7.05
Navdeep Saini,0.75,BOWLER,2.6,29,64,1398,1711,53,32.28,i,0,0,13
Nathan Coulter-Nile,2,BOWLER,2,34,142,3087,3981,170,23.41,o,7,18.14,6.35
Obed Mccoy,0.75,BOWLER,0.75,25,34,686,936,45,20.8,o,0,0,0
K.C Cariappa,0.2,BOWLER,0.3,27,38,840,946,37,25.56,i,0,0,0
Kuldeep Sen,0.2,BOWLER,0.2,25,17,362,495,12,41.25,i,0,0,0
Tejas Baroka,0.2,BOWLER,0.2,26,3,39,78,0,0,i,0,0,0
Kuldip Yadav,0.2,BOWLER,0.2,27,99,213,2675,122,21.92,i,0,0,8
Bhuvneshwar Kumar,2,BOWLER,4.2,32,207,4554,5443,212,25.67,i,6,55.83,7.97
T. Natarajan,1,BOWLER,4,30,49,1032,1354,50,27.08,i,2,34.5,8.62
Umran Malik,-1,BOWLER,4,22,8,192,273,11,24.81,i,2,39,11.14
Kartik Tyagi,0.2,BOWLER,4,21,14,313,491,13,37.76,i,4,31,8.85
Sean Abbott,0.75,BOWLER,2.4,30,106,2039,2886,134,21.53,o,0,0,0
Shreyas Gopal,0.2,BOWLER,0.75,28,79,1515,1901,91,20.89,i,0,0,12
Fazalhaq Farooqi,0.5,BOWLER,0.5,21,7,147,180,8,22.5,o,2,22.5,7.5
Jagadeesha Suchith,0.2,BOWLER,0.2,28,66,1320,1609,57,28.22,i,0,0,9.42
