Player,Base Price,TYPE,Cost,Age,InnBo,Ball,Rc,Wkt,Avgb,InnBa,Rs,Hs,Avg,Sr,100,50,4,6,Nt,R_avg,R_sr,R_wkt,R_avgb
Rishi Dhawan,0.5,ALL-ROUNDER,0.55,32,96,1905,2373,87,27.27,82,1423,65,30.93,118.58,0,3,130,29,i,18,109.09,1,110
Gurkeerat Singh,0.5,ALL-ROUNDER,0.5,31,19,222,262,8,32.75,100,1985,93,25.77,124.06,0,7,188,70,i,0,0,0,0
Dwaine Pretorius,0.5,ALL-ROUNDER,0.5,32,136,2185,2936,112,26.21,125,2066,77,21.29,137.45,0,5,136,109,o,0,0,0,0
Pravin Dubey,0.2,ALL-ROUNDER,0.5,28,22,375,446,20,22.3,16,126,33,14,102.43,0,0,10,3,i,0,0,0,0
Chamika Karunaratne,0.5,ALL-ROUNDER,0.5,25,50,730,1162,36,32.27,48,466,75,19.41,117.67,0,1,35,17,o,0,0,0,0
Kyle Mayers,0.5,ALL-ROUNDER,0.5,29,34,491,651,19,34.26,69,992,85,18.03,116.15,0,2,63,54,o,0,0,0,0
Sanjay Yadav,0.2,ALL-ROUNDER,0.5,26,19,402,446,16,27.87,23,494,55,27.44,124.12,0,2,26,27,i,0,0,0,0
Benny Howell,0.4,ALL-ROUNDER,0.4,33,139,2938,3516,163,21.57,130,2122,57,22.81,129.46,0,6,157,78,o,0,0,0,0
Arjun Tendulkar,0.2,ALL-ROUNDER,0.3,22,2,42,67,2,33.5,2,3,3,3,42.85,0,0,0,0,i,0,0,0,0
Suyash Prabhudessai,0.2,ALL-ROUNDER,0.3,24,9,102,127,2,63.5,20,443,60,31.64,148.16,0,1,38,20,i,0,0,0,0
Darshan Nalkande,0.2,ALL-ROUNDER,0.2,23,22,454,549,43,12.76,12,73,21,7.3,85.88,0,0,3,4,i,0,0,0,0
Pradeep Sangwan,0.2,ALL-ROUNDER,0.2,31,96,2032,2602,100,26.02,43,260,29,12.38,110.16,0,0,26,7,i,0,0,0,0
Sarfaraz Khan,0.2,ALL-ROUNDER,0.2,24,2,8,9,0,0,51,781,67,21.69,134.42,0,3,77,24,i,0,0,0,0
Ripal Patel,0.2,ALL-ROUNDER,0.2,26,5,42,66,0,0,16,299,41,29.9,154.92,0,0,21,19,i,0,0,0,0
Anukul Roy,0.2,ALL-ROUNDER,0.2,23,31,587,694,19,36.52,24,304,47,21.71,141.39,0,0,17,17,i,0,0,0,0
Aman Khan,0.2,ALL-ROUNDER,0.2,25,1,6,7,0,0,5,40,18,13.33,148.14,0,0,3,2,i,0,0,0,0
Prerak Mankad,0.2,ALL-ROUNDER,0.2,27,28,426,611,20,30.55,30,763,72,33.17,140.51,0,6,70,29,i,0,0,0,0
Ansh Patel,0.2,ALL-ROUNDER,0.2,20,3,42,52,1,52,1,6,6,6,150,0,0,1,0,i,0,0,0,0
Writtick Chatterjee,0.2,ALL-ROUNDER,0.2,29,22,402,418,21,19.9,15,262,51,21.83,131,0,1,21,10,i,0,0,0,0
Atharva Taide,0.2,ALL-ROUNDER,0.2,21,12,150,134,10,13.4,20,507,56,29.82,129.66,0,1,61,14,i,0,0,0,0
Karan Sharma,0.2,ALL-ROUNDER,0.2,34,134,2525,3144,121,25.98,101,1434,67,19.12,125.13,0,2,101,64,i,0,0,0,0
Ramandeep Singh,0.2,ALL-ROUNDER,0.2,24,5,66,76,3,25.33,8,98,54,14,136.11,0,1,6,6,i,0,0,0,0
Shashank Singh,0.2,ALL-ROUNDER,0.2,30,16,240,332,10,33.2,27,424,61,20.19,142.28,0,3,32,22,i,0,0,0,0
